Hospital Name,Location,Department,Doctors Count,Patients Count,Admission Date,Discharge Date,Medical Expenses
Wellness Clinic,Chennai,Orthopedics,47,182,2023-12-13,2023-12-14,31364.88
Fortis Care,Pune,ENT,15,51,2023-12-29,2024-01-09,47280.19
Wellness Clinic,Ahmedabad,Pediatrics,20,120,2023-10-07,2023-10-21,28574.72
Heritage Hospital,Hyderabad,Urology,8,172,2023-04-29,2023-05-11,7000.83
City Hospital,Kolkata,Gynecology,35,76,2023-02-10,2023-02-12,47210.46
Heritage Hospital,Hyderabad,Oncology,11,76,2023-02-05,2023-02-17,18612.34
Global Medicare,Ahmedabad,Oncology,22,99,2023-08-01,2023-08-06,47808.55
Apollo Health,Jaipur,General Medicine,37,173,2023-10-01,2023-10-12,12284.65
Heritage Hospital,Jaipur,ENT,9,198,2023-06-12,2023-06-18,14650.23
Green Valley Hospital,Pune,Pediatrics,30,107,2023-12-07,2023-12-08,30006.96
Healing Touch,Mumbai,Dermatology,39,70,2023-09-13,2023-09-15,13282.51
Fortis Care,Jaipur,Urology,22,38,2023-03-12,2023-03-25,13481.9
City Hospital,Lucknow,Cardiology,32,67,2023-11-18,2023-11-24,36748.42
Fortis Care,Jaipur,Orthopedics,27,60,2023-09-18,2023-09-24,37056.51
Sunrise Medical,Ahmedabad,Gynecology,48,37,2023-08-06,2023-08-11,15107.89
Healing Touch,Chennai,Cardiology,17,60,2023-06-27,2023-06-30,9348.55
Green Valley Hospital,Chennai,Pediatrics,40,96,2023-03-22,2023-03-28,48548.44
Healing Touch,Ahmedabad,Neurology,14,68,2023-11-11,2023-11-22,29942.75
Apollo Health,Delhi,Urology,41,111,2023-11-05,2023-11-08,43367.53
Fortis Care,Mumbai,Urology,46,154,2023-02-14,2023-02-18,41367.1
Metro Hospital,Bangalore,Dermatology,7,68,2023-10-06,2023-10-07,30136.26
Apollo Health,Hyderabad,Dermatology,28,191,2023-04-08,2023-04-22,17698.49
Fortis Care,Ahmedabad,Oncology,32,116,2023-10-28,2023-10-30,40799.02
Apollo Health,Hyderabad,Orthopedics,5,79,2023-03-25,2023-03-29,20952.51
City Hospital,Lucknow,Oncology,48,91,2023-02-24,2023-03-04,10882.4
Apollo Health,Pune,ENT,9,59,2023-11-09,2023-11-16,25177.79
Apollo Health,Lucknow,ENT,9,171,2023-04-06,2023-04-21,21666.78
Apollo Health,Lucknow,Dermatology,20,39,2023-05-05,2023-05-10,37856.7
Healing Touch,Pune,Cardiology,46,55,2023-09-25,2023-09-29,25298.5
City Hospital,Hyderabad,Dermatology,7,88,2023-05-12,2023-05-21,28558.23
Global Medicare,Chennai,Dermatology,36,69,2023-09-19,2023-09-20,44452.26
Healing Touch,Mumbai,Neurology,20,94,2023-08-21,2023-08-28,49955.41
Green Valley Hospital,Jaipur,Dermatology,38,139,2023-07-01,2023-07-15,14118.62
Global Medicare,Jaipur,Urology,38,62,2023-06-07,2023-06-17,22074.89
Global Medicare,Kolkata,Orthopedics,22,133,2023-02-13,2023-02-28,18795.69
Wellness Clinic,Jaipur,Neurology,47,84,2023-01-20,2023-01-26,26646.52
Fortis Care,Jaipur,Oncology,15,40,2023-10-23,2023-10-26,37057.29
Healing Touch,Delhi,General Medicine,46,23,2023-05-27,2023-05-29,40771.84
City Hospital,Kolkata,Urology,6,166,2023-12-16,2023-12-25,40731.29
Wellness Clinic,Lucknow,Urology,37,85,2023-06-09,2023-06-16,4872.04
Metro Hospital,Lucknow,Neurology,22,167,2023-12-29,2024-01-10,44531.22
Apollo Health,Chennai,ENT,8,61,2023-09-10,2023-09-15,42769.14
Fortis Care,Bangalore,Gynecology,30,69,2023-11-13,2023-11-26,14701.02
City Hospital,Jaipur,Gynecology,11,22,2023-05-15,2023-05-18,48466.08
Sunrise Medical,Bangalore,ENT,37,26,2023-07-10,2023-07-24,25367.78
Green Valley Hospital,Ahmedabad,Dermatology,15,112,2023-03-26,2023-03-28,32628.67
Heritage Hospital,Lucknow,Urology,30,161,2023-11-10,2023-11-25,10166.89
Green Valley Hospital,Bangalore,Pediatrics,8,177,2023-08-13,2023-08-17,15913.48
Healing Touch,Hyderabad,Pediatrics,30,158,2023-11-13,2023-11-22,16757.51
Wellness Clinic,Ahmedabad,Neurology,27,65,2023-03-29,2023-04-08,35720.61
Green Valley Hospital,Jaipur,General Medicine,45,88,2023-06-21,2023-07-05,9438.26
Wellness Clinic,Lucknow,Cardiology,32,51,2023-12-30,2024-01-12,27223.46
Metro Hospital,Kolkata,Gynecology,10,94,2023-01-18,2023-02-02,35570.84
Healing Touch,Ahmedabad,Urology,13,75,2023-02-07,2023-02-13,26027.37
Sunrise Medical,Mumbai,Urology,23,109,2023-06-23,2023-07-01,36909.89
Fortis Care,Pune,Oncology,41,47,2023-03-25,2023-03-29,8519.11
Metro Hospital,Chennai,Pediatrics,9,134,2023-05-17,2023-05-31,48873.72
